feeder,name,consumers,isOut,,Lat,Lon,,,,,,,,,,,,,,
132kVSS-F2,1500,,false,,,,,,,,,BAO901,,,,,,,,
132kVSS-F8,1501,,false,,,,,,,,,BAO902,,,,,,,,
132kVSS-F8,1503,384,false,,,,,,,,,BAO904,,,,,,,,
132kVSS-F2,1504,3,false,,,,,,,,,BAO905,,,,,,,,
132kVSS-F2,1505,117,false,,,,,,,,,BAO907,,,,,,,,
132kVSS-F2,1506,6,false,,,,,,,,,BAO911,,,,,,,,
132kVSS-F8,1507,,false,,,,,,,,,132kVSS-F1,,,,,,,,
132kVSS-F8,1508,399,false,,,,,,,,,132kVSS-F2,,,,,,,,
132kVSS-F6,1511,0,false,,,,,,,,,132kVSS-F3,,,,,,,,
132kVSS-F2,1512,6,false,,,,,,,,,132kVSS-F4,,,,,,,,
132kVSS-F2,1513,,false,,,,,,,,,132kVSS-F5,,,,,,,,
132kVSS-F2,1514,,false,,,,,,,,,132kVSS-F6,,,,,,,,
132kVSS-F2,1523,,false,,,,,,,,,132kVSS-F7,,,,,,,,
132kVSS-F2,1524,,false,,,,,,,,,132kVSS-F8,,,,,,,,
132kVSS-F2,1525,,false,,,,,,,,,132kVSS-F9,,,,,,,,
132kVSS-F2,1526,,false,,,,,,,,,132kVSS-F10,,,,,,,,
132kVSS-F2,1527,326,false,,,,,,,,,132kVSS-F11,,,,,,,,
132kVSS-F6,1528,392,false,,,,,,,,,132kVSS-F12,,,,,,,,
132kVSS-F2,1531,279,false,,,,,,,,,,,,,,,,,
132kVSS-F2,1532,295,false,,,,,,,,,,,,,,,,,
132kVSS-F6,1533,496,false,,,,,,,,,,,,,,,,,
132kVSS-F6,1534,401,false,,,,,,,,,,,,,,,,,
132kVSS-F2,1536,,false,,,,,,,,,,,,,,,,,
132kVSS-F2,1537,578,false,,,,,,,,,,,,,,,,,
132kVSS-F2,1538,,false,,,,,,,,,,,,,,,,,
132kVSS-F8,1539,,false,,,,,,,,,,,,,,,,,
132kVSS-F2,1540,,false,,,,,,,,,,,,,,,,,
132kVSS-F8,1541,,false,,,,,,,,,,,,,,,,,
132kVSS-F2,1542,,false,,,,,,,,,,,,,,,,,
132kVSS-F8,1543,2,false,,,,,,,,,,,,1500,,,,,
132kVSS-F2,1544,389,false,,,,,,,,,,,,1504,,,,,
132kVSS-F2,1545,493,false,,,,,,,,,,,,1505,,,,,
132kVSS-F2,1546,499,false,,,,,,,,,,,,1506,,,,,
132kVSS-F2,1547,389,false,,,,,,,,,,,,1512,,,,,
132kVSS-F8,1548,391,false,,,,,,,,,,,,1513,,,,,1501
132kVSS-F8,1549,495,false,,,,,,,,,,,,1514,,,,,1503
132kVSS-F8,1550,497,false,,,,,,,,,,,,1523,,,,,1507
132kVSS-F8,1551,393,false,,,,,,,,,,,,1524,,,,,1508
132kVSS-F6,1552,493,false,,,,,,,,,,,,1525,,,,,1539
132kVSS-F8,1553,391,false,,,,,,,,,,,,1526,,,,,1541
132kVSS-F8,1554,386,false,,,,,,,,,,,,1527,,,,,1543
132kVSS-F8,1555,378,false,,,,,,,,,,,,1531,,,,,1548
132kVSS-F8,1556,,false,,,,,,,,,,,,1532,,,,,1549
132kVSS-F2,1557,,false,,,,,,,,,,,,1536,,,,,1550
132kVSS-F2,1558,,false,,,,,,,,,,,,1537,,,,,1551
132kVSS-F2,1559,,false,,,,,,,,,,,,1538,,,,,1553
132kVSS-F8,1560,2,false,,,,,,,,,,,,1540,,,,,1554
132kVSS-F2,1561,321,false,,,,,,,,,,,,1542,,,,,1555
132kVSS-F2,1562,327,false,,,,,,,,,,,,1544,,,,,1556
132kVSS-F6,1563,2,false,,,,,,,,,,,,1545,,,,,1560
132kVSS-F8,1570,,false,,,,,,,,,,,,1546,,,,,1570
132kVSS-F8,1572,391,false,,,,,,,,,,,,1547,,,,,1572
132kVSS-F8,1573,390,false,,,,,,,,,,,,1557,,,,,1573
132kVSS-F2,1574,,false,,,,,,,,,,,,1558,,,,,1580
